controller,scenario,split,seed,success,simulation_success,failure_reason,survived_time,theta_rms_deg,max_abs_theta_deg,max_abs_theta_rad,theta_itae,attitude_settling_time,position_itae,final_abs_position_error,position_settling_time,position_overshoot,position_drift,control_energy,saturation_time,saturation_ratio,disturbance_recovery_time,controller_runtime_seconds,mean_step_runtime_us,simulation_runtime_seconds,controller_evaluation_count,controller_completed_count
ATTITUDE_PID,S1_initial_tilt_3deg,test,2026,1,1,,10,0.204652829187802,3,0.0523598775598299,0.000627659345661401,0.027,2.49816977761321,0.0665500667663556,10,0,0.0665500667663556,0.209273738948041,0.1795,0.017998200179982,0,0.0171228000000001,17.1056943056944,0.1103007,1001,1001
ATTITUDE_PID,S1_initial_tilt_6deg,test,2026,1,1,,10,0.519538536904899,6,0.10471975511966,0.00290127628818362,0.239,5.70591550883613,0.152577814481527,10,0,0.152577814481527,0.386772771070766,0.3495,0.034996500349965,0,0.0149554000000001,14.9404595404596,0.0989955,1001,1001
ATTITUDE_PID,S1_initial_tilt_9deg,test,2026,0,1,task_not_settled,10,0.961991924089775,9,0.15707963267949,0.00793737804217241,0.5,18.3192321385858,0.527512704928635,10,0,0.527512704928635,0.649274589417494,0.6095,0.060993900609939,0,0.0143586000000001,14.3442557442558,0.0929029,1001,1001
ATTITUDE_PID,S1_initial_tilt_12deg,test,2026,1,1,,10,1.60939904207715,12,0.20943951023932,0.0216607546909041,0.741,5.68144296530182,0.132889757139235,10,0,0.132889757139235,0.925677174329767,0.8595,0.085991400859914,0,0.0142708000000001,14.2565434565435,0.0921383,1001,1001
ATTITUDE_PID,S2_position_step_0p25m,test,2026,0,1,task_not_settled,10,0,0,0,0,0,12.375125,0.25,10,0,0,0,0,0,0,0.0145984000000001,14.5838161838163,0.0933901,1001,1001
ATTITUDE_PID,S2_position_step_0p75m,test,2026,0,1,task_not_settled,10,0,0,0,0,0,37.125375,0.75,10,0,0,0,0,0,0,0.0139590000000001,13.9450549450551,0.0909751,1001,1001
ATTITUDE_PID,S2_position_step_1p0m,test,2026,0,1,task_not_settled,10,0,0,0,0,0,49.5005,1,10,0,0,0,0,0,0,0.0140206000000001,14.0065934065935,0.090772,1001,1001
ATTITUDE_PID,S2_saturation_stress,test,2026,0,1,task_not_settled,10,0.914289969806217,8,0.139626340159546,0.0130076731362312,0.5,53.6352796738723,1.15673983056261,10,0,0.156739830562612,0.832645037741776,0.7395,0.073992600739926,10,0.0137357000000001,13.7219780219781,0.0898809,1001,1001
ATTITUDE_PID,S3_positive_impulse,test,2026,0,1,task_not_settled,10,0.0618112915431525,0.662472891023272,0.0115623331535617,0.0101958790091874,0,26.4063862019031,0.565894683193172,10,0,0.0658946831931723,0.117550086138864,0.0300000000000002,0.002999700029997,10,0.0139356000000001,13.9216783216784,0.0910895,1001,1001
ATTITUDE_PID,S3_negative_impulse,test,2026,0,1,task_not_settled,10,0.0618112915431525,0.662472891023272,0.0115623331535617,0.0101958790091874,0,23.0941137980969,0.434105316806828,10,0,0.0658946831931723,0.117550086138864,0.0300000000000002,0.002999700029997,10,0.0144779000000001,14.4634365634367,0.0916677,1001,1001
ATTITUDE_PID,S3_torque_impulse,test,2026,0,1,task_not_settled,10,0.0408084576153352,0.480032898552791,0.00837815459763813,0.00569318845088101,0,73.7665316794153,3.24160541534395,10,3.24160541534395,3.74160541534395,0.0571220685005968,0,0,10,0.0147180000000001,14.7032967032968,0.0927509,1001,1001
ATTITUDE_PID,S5_constant_bias,test,2026,0,1,task_not_settled,10,0.0254268395101405,0.0614015431830681,0.00107165909435002,0.0177633722861565,0,31.1936421666035,0.74300936835657,10,0,0.24300936835657,0.0454119189556357,0,0,0,0.0137943000000001,13.7805194805196,0.0907258,1001,1001
