controller,seed,training_cost,vector,evaluation_count,elapsed_seconds
ATTITUDE_PID,0,167.004713833864,"[2,1,-0.028548362580603115]",240,56.6682752
CASCADE_PID,0,0.082489944444189,"[-0.6648514957286572,-4,-0.62948619512848114,0.96243289917264729,0.24489675178210557]",240,47.8771141
FUZZY_PID,0,0.0990022094783169,"[-0.61798295742513165,-3.4023048140744878,-0.71444269099222624,0.96637642308892291,-1.3010299956639813,0.00475115559100102,0.2,0.2,0.2]",240,72.1046008
LQR,0,0.0715617744768499,"[0.43683316852463971,0.010217969045405784,2.0923218125271088,-0.39094455763715907,-3]",240,65.2792288
LQI,0,0.0704837889094637,"[3.3951955967277958,2.7035293122273631,3.0850874965568527,-2,3.6450519015474634,-3]",240,77.9853534
