controller,scenario,split,seed,success,simulation_success,failure_reason,survived_time,theta_rms_deg,max_abs_theta_deg,max_abs_theta_rad,theta_itae,attitude_settling_time,position_itae,final_abs_position_error,position_settling_time,position_overshoot,position_drift,control_energy,saturation_time,saturation_ratio,disturbance_recovery_time,controller_runtime_seconds,mean_step_runtime_us,simulation_runtime_seconds,controller_evaluation_count,controller_completed_count,run_index,rho,delta_body_mass,delta_com_length,delta_body_inertia,initial_theta_deg,reference_amplitude,force_amplitude,force_start,force_duration,constant_force,measurement_noise_seed
ATTITUDE_PID,S4_monte_carlo,test,2028,0,1,task_not_settled,10,0.299323564038751,3.57679695704772,0.062426883575797,0.114561191811409,0.102,36.0849817118979,0.796688757407641,10,0,0.098676607250651,2.08159729237531,0.4395,0.043995600439956,10,0.0145530000000001,14.5384615384616,0.093539,1001,1001,2,0.1,-0.0830875624986833,-0.0649824102289612,0.0363152790842501,3.57679695704772,0.69801215015699,5.67357901500497,3.90572183014607,0.219605278183284,0.332261893237204,2028
CASCADE_PID,S4_monte_carlo,test,2028,1,1,,10,1.68586906277082,7.70275807703567,0.134438489928859,0.356822951986787,4.169,2.22024114597096,0.0125801741468674,4.073,0,0.685431976010122,0.139374295053948,0.0100000000000001,0.000999900009999,0.000672891670643772,0.0208802000000002,20.8593406593408,0.1017501,1001,1001,2,0.1,-0.0830875624986833,-0.0649824102289612,0.0363152790842501,3.57679695704772,0.69801215015699,5.67357901500497,3.90572183014607,0.219605278183284,0.332261893237204,2028
FUZZY_PID,S4_monte_carlo,test,2028,1,1,,10,1.94830770651219,10.8408847594262,0.18920913288126,0.408870464286232,4.365,1.72573645334511,0.00958526426623463,1.553,0.0281585515786913,0.688426885890755,0.2082126069694,0.03,0.002999700029997,0.000672891670643772,0.0616067,61.5451548451549,0.1482071,1001,1001,2,0.1,-0.0830875624986833,-0.0649824102289612,0.0363152790842501,3.57679695704772,0.69801215015699,5.67357901500497,3.90572183014607,0.219605278183284,0.332261893237204,2028
LQR,S4_monte_carlo,test,2028,1,1,,10,0.904023840370534,4.30599435161532,0.0751537790079657,0.190738281113672,1.527,2.28862891350322,0.00716099483837707,2.825,0,0.690851155318613,0.407626833441515,0.0395000000000001,0.003999600039996,0.000672891670643772,0.0125191,12.5065934065934,0.0919353,1001,1001,2,0.1,-0.0830875624986833,-0.0649824102289612,0.0363152790842501,3.57679695704772,0.69801215015699,5.67357901500497,3.90572183014607,0.219605278183284,0.332261893237204,2028
LQI,S4_monte_carlo,test,2028,1,1,,10,1.07856678621423,4.24796258529662,0.0741409336149565,0.269362827425309,1.753,2.08285912853031,0.00166465067676924,2.755,0.00389734248003493,0.699676800833759,0.847237025816788,0.0395000000000002,0.003999600039996,0.000672891670643772,0.0349801,34.9451548451549,0.1242447,1001,1001,2,0.1,-0.0830875624986833,-0.0649824102289612,0.0363152790842501,3.57679695704772,0.69801215015699,5.67357901500497,3.90572183014607,0.219605278183284,0.332261893237204,2028
ATTITUDE_PID,S4_monte_carlo,test,2029,0,1,task_not_settled,10,0.610507705593685,5.74122644168931,0.100203304510037,0.116627440930051,0.356,25.2785912471004,0.489640363693892,10,0,0.0979067254555844,2.40293106812433,0.8695,0.086991300869913,10,0.0149533,14.9383616383617,0.0938881,1001,1001,3,0.1,-0.0724477653173265,-0.0471988135212734,0.0770895393874454,5.74122644168931,0.587547089149477,-6.75914899807976,4.705182844932,0.190046226161153,0.214842494397276,2029
CASCADE_PID,S4_monte_carlo,test,2029,1,1,,10,1.52899306181338,6.56533541527639,0.114586719494362,0.344565485611111,4.944,1.58039216071864,0.00920285088903694,2.029,0.0370740101942579,0.57834423826044,0.136790607824661,0.0100000000000001,0.000999900009999,0.000770928906848489,0.0206342,20.6135864135864,0.1027638,1001,1001,3,0.1,-0.0724477653173265,-0.0471988135212734,0.0770895393874454,5.74122644168931,0.587547089149477,-6.75914899807976,4.705182844932,0.190046226161153,0.214842494397276,2029
FUZZY_PID,S4_monte_carlo,test,2029,1,1,,10,1.76446372194146,10.023583391853,0.174944533036055,0.386125712702398,5.135,1.32239504933783,0.00765301215798186,1.498,0.0329124237944417,0.579894076991495,0.251989103395097,0.03,0.002999700029997,0.000770928906848489,0.0607027,60.6420579420579,0.1466383,1001,1001,3,0.1,-0.0724477653173265,-0.0471988135212734,0.0770895393874454,5.74122644168931,0.587547089149477,-6.75914899807976,4.705182844932,0.190046226161153,0.214842494397276,2029
LQR,S4_monte_carlo,test,2029,1,1,,10,0.819307364009753,5.74122644168931,0.100203304510037,0.182623512844666,1.46,1.8482583820552,0.00557131348188988,2.681,0.0156077488162887,0.581975775667587,0.383529945055013,0.0495000000000001,0.004999500049995,0.000770928906848489,0.0120653,12.0532467532468,0.0914451,1001,1001,3,0.1,-0.0724477653173265,-0.0471988135212734,0.0770895393874454,5.74122644168931,0.587547089149477,-6.75914899807976,4.705182844932,0.190046226161153,0.214842494397276,2029
LQI,S4_monte_carlo,test,2029,1,1,,10,1.05838382388874,5.74122644168931,0.100203304510037,0.251839678256971,1.707,1.78187885058366,0.000263499703187398,2.619,0.00627103895575454,0.587810588852664,0.823397734097622,0.0695000000000003,0.006999300069993,0.000770928906848489,0.0288503,28.8214785214786,0.1115165,1001,1001,3,0.1,-0.0724477653173265,-0.0471988135212734,0.0770895393874454,5.74122644168931,0.587547089149477,-6.75914899807976,4.705182844932,0.190046226161153,0.214842494397276,2029
ATTITUDE_PID,S4_monte_carlo,test,2030,0,1,task_not_settled,10,0.754831977068591,6.25963646570455,0.109251266304446,0.126125207656293,0.388,55.1156307710889,1.21603555405193,10,0,0.218709541951341,2.43518020607385,0.799500000000001,0.07999200079992,10,0.0145824,14.5678321678322,0.0936497,1001,1001,4,0.1,-0.0278539413281799,0.0347980957335329,0.086125608141835,6.25963646570455,0.997326012100589,5.1794446303511,4.77924009116845,0.241893240012093,0.202588226470702,2030
CASCADE_PID,S4_monte_carlo,test,2030,1,1,,10,2.30149468586298,10.0674578511887,0.175710286808997,0.484867761101085,5.049,2.67748787239239,0.00969443657580749,4.88,0,0.987631575524782,0.150973016157615,0.0195000000000001,0.001999800019998,0.000866668819458738,0.0205941000000002,20.5735264735266,0.1019079,1001,1001,4,0.1,-0.0278539413281799,0.0347980957335329,0.086125608141835,6.25963646570455,0.997326012100589,5.1794446303511,4.77924009116845,0.241893240012093,0.202588226470702,2030
FUZZY_PID,S4_monte_carlo,test,2030,1,1,,10,2.5863444026426,12.6443478896261,0.220685502441572,0.541830743702159,5.24,2.15749019733851,0.00695423892831748,4.588,0.048128379612584,0.990371773172272,0.244819799709657,0.0395,0.003999600039996,0.000866668819458738,0.0631026000000001,63.0395604395605,0.1513685,1001,1001,4,0.1,-0.0278539413281799,0.0347980957335329,0.086125608141835,6.25963646570455,0.997326012100589,5.1794446303511,4.77924009116845,0.241893240012093,0.202588226470702,2030
LQR,S4_monte_carlo,test,2030,1,1,,10,1.30314300733095,6.25963646570455,0.109251266304446,0.273900411549398,1.625,2.97240596813928,0.00545246065142568,2.961,0.00548124470198808,0.991873551449164,0.396508371189257,0.0595,0.005999400059994,0.000866668819458738,0.0135517,13.5381618381619,0.0951599,1001,1001,4,0.1,-0.0278539413281799,0.0347980957335329,0.086125608141835,6.25963646570455,0.997326012100589,5.1794446303511,4.77924009116845,0.241893240012093,0.202588226470702,2030
LQI,S4_monte_carlo,test,2030,1,1,,10,1.60512850286787,6.25963646570455,0.109251266304446,0.361979363996258,3.119,3.00344931218681,0.000807415957434165,2.946,0.00423845829848912,0.998133428058024,0.801961225792943,0.0495000000000002,0.004999500049995,0.000866668819458738,0.029413,29.3836163836163,0.1135629,1001,1001,4,0.1,-0.0278539413281799,0.0347980957335329,0.086125608141835,6.25963646570455,0.997326012100589,5.1794446303511,4.77924009116845,0.241893240012093,0.202588226470702,2030
ATTITUDE_PID,S4_monte_carlo,test,2031,0,1,task_not_settled,10,0.536959443057254,5.53042749383631,0.096524168810262,0.118540567556821,0.237,36.3211754587403,0.693310879431138,10,0,0.130387698047965,2.33662179514741,0.6195,0.061993800619938,10,0.0146792,14.6645354645355,0.0949523,1001,1001,5,0.1,-0.0242158580704561,0.0356862491169202,-0.0587777804484174,5.53042749383631,0.823698577479103,-5.11552639896524,4.66709592522058,0.296136957742388,-0.0446070015358156,2031
CASCADE_PID,S4_monte_carlo,test,2031,1,1,,10,1.99291111696766,8.75885494796603,0.152870857546604,0.446377721166636,4.983,1.96198435719214,0.00122984666570825,4.803,0.0595552686648255,0.824928424144812,0.14437833668773,0.0100000000000001,0.000999900009999,0.000767117037030474,0.0213382000000001,21.3168831168832,0.103039,1001,1001,5,0.1,-0.0242158580704561,0.0356862491169202,-0.0587777804484174,5.53042749383631,0.823698577479103,-5.11552639896524,4.66709592522058,0.296136957742388,-0.0446070015358156,2031
FUZZY_PID,S4_monte_carlo,test,2031,1,1,,10,2.2329283265071,11.6568890424173,0.20345109432983,0.481423204587298,5.174,1.711654325956,0.000904365628448978,4.513,0.0507589318407532,0.824602943107552,0.207202311709357,0.03,0.002999700029997,0.000767117037030474,0.0592993999999999,59.2401598401597,0.1446723,1001,1001,5,0.1,-0.0242158580704561,0.0356862491169202,-0.0587777804484174,5.53042749383631,0.823698577479103,-5.11552639896524,4.66709592522058,0.296136957742388,-0.0446070015358156,2031
LQR,S4_monte_carlo,test,2031,1,1,,10,1.08662538999891,5.53042749383631,0.096524168810262,0.24181061149927,1.566,2.60004504701152,0.00070220842684976,2.81,0.0302563745534818,0.822996369052254,0.45270657177082,0.0495000000000001,0.004999500049995,0.000767117037030474,0.0129579,12.9449550449551,0.0938329,1001,1001,5,0.1,-0.0242158580704561,0.0356862491169202,-0.0587777804484174,5.53042749383631,0.823698577479103,-5.11552639896524,4.66709592522058,0.296136957742388,-0.0446070015358156,2031
